Province/State,Country/Region,Lat,Lon,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,death_per_100_case,death_past_3_days
Northern Territory,Australia,-12.4634,130.8456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.47712125471966244,0.0,0.3010299956639812,0.0,0.0
Queensland,Australia,-28.0167,153.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.47712125471966244,0.0,0.3010299956639812,0.0,0.0,0.3010299956639812,0.0,0.3010299956639812,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.0,0.0,0.47712125471966244,0.0,0.47712125471966244,0.0,0.0,0.47712125471966244,0.0,0.6020599913279624,0.47712125471966244,0.0,1.2041199826559248,1.0791812460476249,1.2041199826559248,0.9030899869919435,1.0413926851582251,1.2304489213782739,1.7075701760979363,1.6127838567197355,1.5797835966168101,1.591064607026499,1.7853298350107671,1.8976270912904414,0.0,0.0
South Australia,Australia,-34.9285,138.6007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.47712125471966244,0.0,0.47712125471966244,0.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.9030899869919435,0.6020599913279624,0.3010299956639812,1.0,0.0,0.9542425094393249,0.7781512503836436,0.9542425094393249,1.255272505103306,1.5314789170422551,1.5440680443502757,1.568201724066995,0.0,0.0
Tasmania,Australia,-41.4545,145.9707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.3010299956639812,0.0,0.47712125471966244,0.0,0.3010299956639812,0.3010299956639812,0.0,0.6020599913279624,0.0,0.0,0.8450980400142568,0.8450980400142568,0.8450980400142568,0.0,0.0,0.0
Victoria,Australia,-37.8136,144.9631,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.0,0.47712125471966244,0.0,0.3010299956639812,0.0,0.0,0.3010299956639812,0.0,0.6989700043360189,0.6020599913279624,0.6020599913279624,0.0,1.2041199826559248,1.146128035678238,0.9542425094393249,1.1760912590556813,1.380211241711606,1.4471580313422192,0.0,0.0,2.037426497940624,2.103803720955957,0.0,1.7558748556724915,0.0,0.0
Western Australia,Australia,-31.9505,115.8605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.3010299956639812,0.47712125471966244,0.6020599913279624,0.0,0.7781512503836436,0.6020599913279624,0.0,1.0791812460476249,0.6020599913279624,0.6989700043360189,1.255272505103306,1.1139433523068367,1.4313637641589874,1.4913616938342726,1.3222192947339193,1.5563025007672873,0.57142854,0.0
,Austria,47.5162,14.5501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.3010299956639812,0.0,0.8450980400142568,0.7781512503836436,0.6989700043360189,0.6020599913279624,0.9542425094393249,1.1139433523068367,1.1760912590556813,1.3979400086720377,1.414973347970818,1.4471580313422192,1.7160033436347992,1.8129133566428555,1.7558748556724915,2.307496037913213,2.1818435879447726,2.3138672203691533,2.2013971243204513,2.4983105537896004,2.4983105537896004,2.5658478186735176,2.575187844927661,2.630427875025024,2.885926339801431,2.9508514588885464,2.90848501887865,0.5300019,20.0
,Azerbaijan,40.1431,47.5769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.0,0.0,0.0,0.6020599913279624,0.0,0.6020599913279624,0.0,0.0,0.47712125471966244,0.0,0.0,0.6989700043360189,0.0,0.9542425094393249,0.7781512503836436,0.0,0.0,1.2304489213782739,0.0,1.0,1.1139433523068367,0.9030899869919435,1.2041199826559248,1.1494253,0.0
,Bahamas,25.0343,-77.3963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.47712125471966244,0.0,0.3010299956639812,0.0,0.0,0.3010299956639812,0.0,0.0
,Bahrain,26.0275,50.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,1.3617278360175928,1.0413926851582251,0.0,0.6020599913279624,0.7781512503836436,0.8450980400142568,0.47712125471966244,0.0,0.6020599913279624,0.6020599913279624,0.7781512503836436,1.414973347970818,0.0,1.0413926851582251,1.2041199826559248,1.9344984512435677,0.0,0.0,1.2041199826559248,0.6989700043360189,0.0,1.1760912590556813,1.462397997898956,1.3617278360175928,0.9030899869919435,1.3222192947339193,1.4771212547196624,1.6434526764861874,1.2041199826559248,0.7653061,2.0
,Bangladesh,23.685,90.3563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.0,0.0,0.0,0.0,0.0,0.0,0.47712125471966244,0.6020599913279624,0.47712125471966244,0.6989700043360189,0.6020599913279624,0.6020599913279624,0.7781512503836436,0.47712125471966244,0.8450980400142568,0.8450980400142568,10.256411,2.0
,Barbados,13.1939,-59.5432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.6020599913279624,0.0,0.3010299956639812,0.9542425094393249,0.6020599913279624,0.3010299956639812,0.0,0.0
,Belarus,53.7098,27.9534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.7781512503836436,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.0,0.6020599913279624,1.2041199826559248,0.0,0.0,1.0,0.0,1.2041199826559248,0.0,1.2787536009528289,0.9030899869919435,0.0,0.7781512503836436,0.0,0.0,0.0
,Belgium,50.8333,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.8450980400142568,0.7781512503836436,1.0413926851582251,1.4471580313422192,1.7781512503836436,1.7853298350107671,1.505149978319906,1.6020599913279623,1.462397997898956,1.6812412373755872,0.0,2.3909351071033793,2.1172712956557644,2.296665190261531,2.2380461031287955,2.2695129442179165,2.387389826338729,2.4913616938342726,2.6655809910179533,2.747411807886423,2.7686381012476144,2.5352941200427703,2.7218106152125467,2.8578122,55.0
,Benin,9.3077,2.3158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.6020599913279624,0.3010299956639812,0.0,0.0
,Bhutan,27.5142,90.4336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0
,Bolivia,-16.2902,-63.5887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.3010299956639812,0.9030899869919435,0.0,0.3010299956639812,0.0,0.3010299956639812,0.0,0.6020599913279624,0.6989700043360189,0.7781512503836436,0.6020599913279624,0.47712125471966244,0.0,0.0
